,dy_lfy,ps_lyr,pe_ttm,ps_ttm,pb_lyr,dy_ttm,pe_lyr
2023-09-04,8.6207,1.7058,9.5187,1.6869,1.492,8.6207,8.441
2023-09-05,8.5685,1.7162,9.5766,1.6972,1.5011,8.5685,8.4923
2023-09-06,8.5916,1.7116,9.5508,1.6926,1.4971,8.5916,8.4695
2023-09-08,8.6617,1.6977,9.4736,1.6789,1.485,8.6617,8.401
2023-09-11,8.5599,1.7179,9.5862,1.6989,1.5026,8.5599,8.5009
2023-09-12,8.5542,1.7191,9.5927,1.7,1.5036,8.5542,8.5066
2023-09-13,8.427,1.745,9.7375,1.7257,1.5263,8.427,8.635
2023-09-14,8.1862,1.7964,10.0239,1.7764,1.5712,8.1862,8.889
2023-09-15,8.1809,1.7975,10.0303,1.7776,1.5722,8.1809,8.8947
2023-09-18,8.1652,1.801,10.0496,1.781,1.5753,8.1652,8.9118
2023-09-19,8.1262,1.8096,10.0979,1.7896,1.5828,8.1262,8.9546
2023-09-20,8.103,1.8148,10.1269,1.7947,1.5874,8.103,8.9803
2023-09-22,8.16,1.8021,10.0561,1.7821,1.5763,8.16,8.9175
2023-09-25,8.134,1.8079,10.0882,1.7878,1.5813,8.134,8.9461
2023-09-26,8.1836,1.7969,10.0271,1.777,1.5717,8.1836,8.8918
2023-09-28,8.1731,1.7992,10.04,1.7793,1.5737,8.1731,8.9033
2023-10-09,8.0824,1.8194,10.1526,1.7993,1.5914,8.0824,9.0031
2023-10-10,8.2099,1.7912,9.9949,1.7713,1.5667,8.2099,8.8633
2023-10-11,8.2631,1.7796,9.9306,1.7599,1.5566,8.2631,8.8062
2023-10-12,8.3062,1.7704,9.8791,1.7508,1.5485,8.3062,8.7606
2023-10-13,8.2873,1.7744,9.9016,1.7548,1.5521,8.2873,8.7805
2023-10-16,8.1133,1.8125,10.114,1.7924,1.5853,8.1133,8.9689
2023-10-17,8.0722,1.8217,10.1655,1.8015,1.5934,8.0722,9.0145
2023-10-18,8.0696,1.8223,10.1687,1.8021,1.5939,8.0696,9.0174
2023-10-19,8.2391,1.7848,9.9595,1.765,1.5611,8.2391,8.8319
2023-10-20,8.2846,1.775,9.9048,1.7553,1.5526,8.2846,8.7834
2023-10-23,8.2444,1.7837,9.9531,1.7639,1.5601,8.2444,8.8262
2023-10-24,8.3361,1.7641,9.8437,1.7445,1.543,8.3361,8.7292
2023-10-25,8.3992,1.7508,9.7697,1.7314,1.5314,8.3992,8.6635
2023-10-26,8.347,1.7618,9.8308,1.7422,1.541,8.347,8.7178
2023-10-27,8.402,1.7502,9.7664,1.7308,1.5309,8.402,8.6607
2023-10-30,8.583,1.7133,10.0488,1.7035,1.4986,8.583,8.4781
2023-10-31,8.4103,1.7485,10.2551,1.7385,1.5294,8.4103,8.6521
2023-11-01,8.4186,1.7468,10.2449,1.7368,1.5278,8.4186,8.6436
2023-11-02,8.3634,1.7583,10.3126,1.7483,1.5379,8.3634,8.7006
2023-11-03,8.3964,1.7514,10.272,1.7414,1.5319,8.3964,8.6664
2023-11-06,8.6499,1.7001,9.971,1.6903,1.487,8.6499,8.4124
2023-11-07,8.6003,1.7099,10.0285,1.7001,1.4956,8.6003,8.4609
2023-11-08,8.5685,1.7162,10.0657,1.7064,1.5011,8.5685,8.4923
2023-11-10,8.1994,1.7935,10.5189,1.7832,1.5687,8.1994,8.8747
2023-11-13,8.2444,1.7837,10.4614,1.7735,1.5601,8.2444,8.8262
2023-11-15,8.2954,1.7727,10.3971,1.7626,1.5505,8.2954,8.772
2023-11-20,8.3008,1.7716,10.3904,1.7614,1.5495,8.3008,8.7663
2023-11-21,8.3035,1.771,10.387,1.7609,1.549,8.3035,8.7634
2023-11-22,8.3197,1.7675,10.3667,1.7574,1.546,8.3197,8.7463
2023-11-23,8.2391,1.7848,10.4682,1.7746,1.5611,8.2391,8.8319
2023-11-24,8.2126,1.7906,10.502,1.7804,1.5662,8.2126,8.8604
2023-11-28,8.2285,1.7871,10.4817,1.7769,1.5632,8.2285,8.8433
2023-11-29,8.1809,1.7975,10.5426,1.7872,1.5722,8.1809,8.8947
2023-11-30,8.0978,1.816,10.6508,1.8056,1.5884,8.0978,8.986
2023-12-01,8.0927,1.8171,10.6576,1.8067,1.5894,8.0927,8.9917
2023-12-05,8.1522,1.8039,10.5798,1.7936,1.5778,8.1522,8.9261
2023-12-06,8.2152,1.79,10.4986,1.7798,1.5657,8.2152,8.8576
2023-12-07,8.3415,1.7629,10.3396,1.7528,1.542,8.3415,8.7235
2023-12-08,8.3388,1.7635,10.343,1.7534,1.5425,8.3388,8.7263
2023-12-11,8.2046,1.7923,10.5121,1.7821,1.5677,8.2046,8.869
2023-12-12,8.16,1.8021,10.5696,1.7918,1.5763,8.16,8.9175
2023-12-13,8.2846,1.775,10.4107,1.7649,1.5526,8.2846,8.7834
2023-12-14,8.3089,1.7698,10.3802,1.7597,1.548,8.3089,8.7577
2023-12-15,8.3854,1.7537,10.2855,1.7437,1.5339,8.3854,8.6778
2023-12-18,8.2927,1.7733,10.4005,1.7632,1.551,8.2927,8.7748
2023-12-19,8.2792,1.7762,10.4174,1.766,1.5536,8.2792,8.7891
2023-12-20,8.2179,1.7894,10.4952,1.7792,1.5652,8.2179,8.8547
2023-12-21,8.2873,1.7744,10.4073,1.7643,1.5521,8.2873,8.7805
2023-12-22,8.1262,1.8096,10.6136,1.7993,1.5828,8.1262,8.9546
2023-12-25,8.029,1.8315,10.7421,1.8211,1.602,8.029,9.0631
2023-12-26,8.1444,1.8056,10.5899,1.7953,1.5793,8.1444,8.9346
2023-12-27,8.0569,1.8252,10.7049,1.8148,1.5964,8.0569,9.0317
2023-12-28,8.1678,1.8004,10.5595,1.7901,1.5748,8.1678,8.909
2023-12-29,8.134,1.8079,10.6034,1.7976,1.5813,8.134,8.9461
2024-01-02,7.8752,1.8673,10.9518,1.8566,1.6333,7.8752,9.24
2024-01-03,7.732,1.9019,11.1548,1.891,1.6635,7.732,9.4112
2024-01-04,7.6279,1.9278,11.307,1.9168,1.6862,7.6279,9.5396
2024-01-05,7.6233,1.929,11.3137,1.918,1.6872,7.6233,9.5453
2024-01-08,7.578,1.9405,11.3814,1.9295,1.6973,7.578,9.6024
2024-01-09,7.489,1.9636,11.5167,1.9524,1.7175,7.489,9.7165
2024-01-10,7.5332,1.9521,11.449,1.9409,1.7074,7.5332,9.6595
2024-01-15,7.4912,1.963,11.5133,1.9518,1.717,7.4912,9.7137
2024-01-16,7.4387,1.9769,11.5945,1.9656,1.7291,7.4387,9.7822
2024-01-17,7.4692,1.9688,11.5471,1.9575,1.722,7.4692,9.7422
2024-01-18,7.4846,1.9647,11.5234,1.9535,1.7185,7.4846,9.7222
2024-01-19,7.6692,1.9175,11.2461,1.9065,1.6771,7.6692,9.4882
2024-01-22,7.7367,1.9007,11.148,1.8899,1.6625,7.7367,9.4055
2024-01-23,7.5848,1.9388,11.3712,1.9277,1.6958,7.5848,9.5938
2024-01-24,7.3678,1.9959,11.7061,1.9845,1.7457,7.3678,9.8763
2024-01-25,7.2608,2.0253,11.8786,2.0137,1.7715,7.2608,10.0219
2024-01-26,7.1229,2.0645,12.1086,2.0527,1.8058,7.1229,10.2159
2024-01-29,7.1529,2.0559,12.0578,2.0441,1.7982,7.1529,10.1731
2024-01-30,7.1309,2.0622,12.095,2.0504,1.8038,7.1309,10.2045
2024-01-31,6.8696,2.1406,12.555,2.1284,1.8724,6.8696,10.5926
2024-02-01,7.0248,2.0933,12.2777,2.0814,1.831,7.0248,10.3586
2024-02-02,6.8882,2.1349,12.5212,2.1227,1.8673,6.8882,10.5641
2024-02-05,6.6876,2.1989,12.8966,2.1863,1.9233,6.6876,10.8808
2024-02-06,6.7568,2.1764,12.7647,2.164,1.9036,6.7568,10.7695
2024-02-07,6.6079,2.2254,13.0522,2.2127,1.9465,6.6079,11.0121
2024-02-08,6.6982,2.1954,12.8763,2.1829,1.9203,6.6982,10.8637
2024-02-19,6.4054,2.2958,13.4649,2.2827,2.008,6.4054,11.3602
2024-02-20,6.4135,2.2929,13.4479,2.2798,2.0055,6.4135,11.3459
2024-02-21,6.4426,2.2825,13.3871,2.2695,1.9964,6.4426,11.2946
2024-02-22,6.2454,2.3546,13.8098,2.3411,2.0595,6.2454,11.6513
2024-02-23,6.399,2.2981,13.4784,2.285,2.0101,6.399,11.3716
2024-02-27,6.6096,2.2248,13.0488,2.2121,1.946,6.6096,11.0092
2024-02-28,6.5385,2.2491,13.1909,2.2362,1.9672,6.5385,11.1291
2024-02-29,6.6062,2.226,13.0556,2.2133,1.947,6.6062,11.0149
2024-03-01,6.6441,2.2133,12.9812,2.2007,1.9359,6.6441,10.9521
2024-03-04,6.5401,2.2485,13.1875,2.2356,1.9667,6.5401,11.1262
2024-03-05,6.4475,2.2808,13.3769,2.2677,1.9949,6.4475,11.286
2024-03-06,6.4688,2.2733,13.3329,2.2603,1.9884,6.4688,11.2489
2024-03-07,6.3607,2.3119,13.5596,2.2987,2.0222,6.3607,11.4401
2024-03-08,6.4151,2.2923,13.4446,2.2792,2.005,6.4151,11.3431
2024-03-11,6.5891,2.2318,13.0894,2.219,1.952,6.5891,11.0435
2024-03-12,6.8585,2.1441,12.5753,2.1319,1.8754,6.8585,10.6097
2024-03-13,6.8789,2.1378,12.5381,2.1255,1.8698,6.8789,10.5783
2024-03-14,6.8145,2.1579,12.6565,2.1456,1.8875,6.8145,10.6782
2024-03-15,6.8346,2.1516,12.6193,2.1393,1.8819,6.8346,10.6468
2024-03-18,6.9369,2.1199,12.4333,2.1078,1.8542,6.9369,10.4899
2024-03-19,6.831,2.1527,12.626,2.1405,1.8829,6.831,10.6525
2024-03-20,6.8018,2.162,12.6802,2.1496,1.891,6.8018,10.6982
2024-03-21,6.7693,2.1724,12.741,2.16,1.9001,6.7693,10.7495
2024-03-22,6.7211,2.1879,12.8324,2.1754,1.9137,6.7211,10.8266
2024-03-25,5.8686,2.2302,12.8176,2.2302,1.8722,6.6217,12.8176
2024-03-26,5.9427,2.2024,12.6579,2.2024,1.8488,6.7052,12.6579
2024-03-27,5.8187,2.2493,12.9275,2.2493,1.8882,6.5654,12.9275
