date,open,close,high,low,volume,PVJ,cbj0,cbj1,cbj2,v931,v932,v150,v935,v940,up,down,HJJ,pe
2022-09-07,32.62,32.61,32.97,32.5,21410667,32.67327810391194,32.69252345485954,32.70706313969304,32.66298296862444,320200,212100,263800,1336145,766545,31.666666666666664,26.25,32.64375,0.0
2022-09-08,32.24,32.3,32.7,31.86,22776746,32.3175873303522,32.23735566211493,32.194234127388555,32.362730343344424,1111800,624100,423700,2803145,2889755,29.58333333333333,21.666666666666668,32.28,0.0
2022-09-09,32.68,32.73,32.95,32.21,27829988,32.68441824696439,32.734334779931494,32.73775884185081,32.72742692057497,456519,348800,270000,2401529,1693700,22.08333333333333,32.083333333333336,32.67999999999999,0.0
2022-09-13,32.56,32.45,32.65,31.78,25617625,32.19914631733035,32.14791854115349,32.0831650881009,32.3263280285298,518256,411025,183400,1746878,2805120,27.08333333333333,30.833333333333336,32.41875,0.0
2022-09-14,32.11,32.35,32.77,32.07,15867794,32.428386643962604,32.4664619814526,32.49960084410015,32.38789884912423,568604,213800,213126,1478504,1507376,29.166666666666668,30.833333333333336,32.307500000000005,0.0
2022-09-15,32.88,32.39,33.35,31.89,29462191,32.536155193405335,32.651361387643625,32.98627317141301,32.161016254876465,541603,686803,310400,2990006,1602100,23.75,32.916666666666664,32.57,0.0
2022-09-16,32.09,30.96,32.32,30.95,39886875,31.44522912421065,31.48476946943804,31.87734073052445,31.244770982645,546500,641100,1367169,2099300,1453600,40.41666666666666,20.833333333333336,31.41125,0.0
2022-09-19,31.24,31.5,31.87,31.13,22162952,31.56147843707824,31.565469975211336,31.57154651936393,31.552258730039583,712100,408700,274651,2653700,1851175,34.583333333333336,20.833333333333336,31.435,0.0
2022-09-20,31.83,31.35,31.84,31.18,12845922,31.43889615348357,31.43735330877857,31.41773102215044,31.45752116045766,382500,380400,170712,1172700,662400,21.666666666666668,37.5,31.51,0.0
2022-09-21,31.34,31.18,31.6,31.0,17010429,31.326502683956413,31.279234144309385,31.429764746525738,31.23675885066757,309789,105700,396855,728189,576100,30.833333333333336,31.666666666666664,31.25,0.0
2022-09-22,30.95,31.99,32.1,30.88,21435370,31.603690312553507,31.59692204824084,31.26907782121805,31.849438092841467,287000,111600,206200,798800,626200,29.58333333333333,27.08333333333333,31.605,0.0
2022-09-23,31.99,31.18,32.25,31.1,16125837,31.52231388369174,31.56390346819223,31.775590739896963,31.288709144426463,288800,144800,192300,1045200,618400,28.33333333333333,30.833333333333336,31.50625,0.0
2022-09-26,30.65,30.36,31.55,30.3,25657538,30.877822145143075,30.82025895681848,30.996201867167795,30.60027300249304,1274200,574400,606965,2722100,1282300,39.16666666666666,21.666666666666668,30.573750000000004,0.0
2022-09-27,30.8,30.4,30.97,29.6,22252826,30.15493979281553,30.10305461803327,30.06042784536438,30.32975819740614,537812,251700,275900,1819512,1600300,31.666666666666664,26.666666666666668,30.47125,0.0
2022-09-28,30.39,30.64,31.0,30.34,20510231,30.65704925233411,30.687901067641253,30.57571197483716,30.76731609437178,457500,238800,309700,1619212,843500,22.916666666666664,36.66666666666666,30.585,0.0
2022-09-29,31.09,31.41,32.0,30.75,26475339,31.53347127453213,31.53064314075493,31.53910672321464,31.499929994232016,613156,682920,681800,2587676,2054400,29.166666666666668,28.75,31.32125,0.0
2022-09-30,31.58,31.64,31.92,31.1,21762644,31.54330172301216,31.5305235587832,31.31913039753543,31.688495145274693,265136,243954,547154,908590,778900,27.500000000000004,27.08333333333333,31.5925,0.0
2022-10-10,32.0,31.98,32.42,31.88,26223807,32.1833391531405,32.18270433772534,32.16581006068041,32.217142798793766,559739,650900,189412,2042339,1905300,29.58333333333333,21.25,32.0275,0.0
2022-10-11,31.99,31.61,32.3,31.37,15432342,31.650311522871903,31.708671360123528,31.787765353261666,31.570292291708768,291800,189000,205500,985930,912400,33.75,24.166666666666668,31.76125,0.0
2022-10-12,31.49,31.93,32.0,31.2,16481641,31.60531631179808,31.577293202095376,31.408232518385947,31.78134374209233,303100,204300,158220,1364283,520612,27.08333333333333,33.75,31.7375,0.0
2022-10-13,31.86,31.07,32.09,30.82,19174055,31.151849780210814,31.24204497093089,31.2989976366214,30.982100663975665,509600,192600,142800,1322118,947562,26.666666666666668,31.666666666666664,31.36375,0.0
2022-10-14,31.32,31.54,32.09,31.2,21368672,31.62190973115924,31.64510973914573,31.502978854722954,31.774798592771543,784800,359600,110100,1730000,659241,30.416666666666664,30.0,31.51125,0.0
2022-10-17,31.35,31.18,31.75,30.48,20656329,30.98603441879726,30.88338164322888,30.8212562307806,31.199504243637616,412781,448700,188575,1825981,1796100,30.833333333333336,25.416666666666664,31.20625,0.0
2022-10-18,31.22,30.99,31.85,30.88,20319465,31.267550361562176,31.289162449065955,31.57962329637392,31.11976406359312,224500,222000,189970,938900,840845,26.666666666666668,32.5,31.14125,0.0
2022-10-19,30.8,31.04,31.47,30.73,19525909,31.147603135019217,31.164839470306354,31.20401781204565,31.09141537027233,391600,284100,170700,1225000,1166566,32.083333333333336,30.416666666666664,30.995,0.0
2022-10-20,31.12,30.45,31.16,30.35,22693472,30.72890755830576,30.72058972784675,30.90335519978106,30.554809579916245,595900,424400,188900,1660200,923700,28.75,28.75,30.69375,0.0
2022-10-21,30.45,30.82,31.3,30.44,18132520,30.896002557352755,30.876127714163363,30.816092586599115,30.9346728293197,467100,234600,203652,1010000,429500,25.833333333333336,25.0,30.74,0.0
2022-10-24,30.72,29.85,31.15,29.75,28722761,30.202953211522736,30.29025431455945,30.565299105743936,29.96957801865389,484822,204300,178783,1369322,1288400,34.583333333333336,32.083333333333336,30.2175,0.0
2022-10-25,30.0,29.83,30.23,29.61,20599984,29.889581105621247,29.95311260398829,29.99992438252044,29.89187578856644,608100,339400,306175,1988600,1089500,26.25,30.833333333333336,29.895,0.0
2022-10-26,29.85,29.01,30.04,28.8,34094043,29.27046014926273,29.13681427154801,29.740109797851343,29.04335101111765,252457,323200,290500,929357,531100,30.416666666666664,32.5,29.3225,0.0
2022-10-27,29.1,29.33,29.66,29.1,24951544,29.41432598139017,29.43440691644174,29.45083780040882,29.40076363584621,492700,467300,320900,2284500,1882500,26.666666666666668,26.666666666666668,29.285,0.0
2022-10-28,29.32,29.36,30.05,29.15,30287696,29.56105010005548,29.58854937564113,29.556944271242045,29.59927567262703,428600,164300,231700,1066800,967145,25.833333333333336,33.33333333333333,29.41,0.0
2022-10-31,29.52,28.03,30.62,27.95,60989825,29.03388536944482,29.194007576848,29.9734148059326,28.34875873866316,1975410,1665600,436000,6446610,3688035,30.416666666666664,27.916666666666668,28.71625,0.0
2022-11-01,28.26,28.42,28.63,27.57,43300123,28.08888214639136,28.07427134759428,28.32097081724651,27.93002064667296,759400,734500,257800,2524200,1510100,33.33333333333333,27.500000000000004,28.3,0.0
2022-11-02,28.25,29.15,29.35,28.01,26719111,28.800148839111827,28.73711031316749,28.445627371054968,29.037621695144875,413400,283400,203200,1539600,1073400,21.666666666666668,36.66666666666666,28.8075,0.0
2022-11-03,29.15,28.83,29.46,28.74,17832524,29.01206178399087,29.010802354926977,29.07792349484988,28.889909916057267,542288,390400,114690,1707188,1204600,32.5,22.916666666666664,28.977500000000003,0.0
2022-11-04,28.8,29.74,30.15,28.77,23056614,29.69175185437029,29.62270780474084,29.45192830453434,29.93054556072204,174600,140000,116276,735100,966600,25.416666666666664,30.416666666666664,29.435,0.0
2022-11-07,29.8,30.17,30.69,29.62,30200643,30.22136348086198,30.158049984395543,30.031132983662776,30.405192685425927,388907,221200,190422,1228409,1247300,24.166666666666668,28.75,30.07375,0.0
2022-11-08,30.38,29.91,30.6,29.77,18234265,30.091562238935868,30.182265819923664,30.324871952530483,29.929064672226293,416216,203800,333501,1385416,802700,34.583333333333336,26.666666666666668,30.09625,0.0
2022-11-09,29.85,29.41,30.08,29.3,15770747,29.55093087703772,29.513022006219305,29.67609500544024,29.426325898176813,157600,107900,299347,605545,335301,29.166666666666668,18.75,29.590000000000003,0.0
2022-11-10,29.11,29.45,29.59,28.18,28653135,28.83702155270269,28.65783379374006,28.45187828028721,29.290303033599265,992700,540780,331500,3815380,4088696,31.25,22.08333333333333,29.22375,0.0
2022-11-11,29.83,29.85,29.99,29.36,30037207,29.75996735140854,29.8055761176582,29.722047848918447,29.849635567643663,760500,436600,484655,2036501,968300,25.0,33.33333333333333,29.801250000000003,0.0
2022-11-14,29.86,28.6,30.23,28.41,52064867,28.973716392068187,29.385878008423585,29.69528368005514,28.71029925434396,1142200,761800,318100,3055200,2052100,29.58333333333333,32.5,29.095,0.0
2022-11-15,28.51,28.59,28.78,28.1,26821754,28.509382094521115,28.463108039659303,28.42024932914453,28.53956425042708,470818,579900,331500,2235418,840200,30.416666666666664,30.833333333333336,28.5325,0.0
2022-11-16,28.72,28.84,29.14,28.5,30587867,28.82604135620179,28.87301474952819,28.736035769425293,28.94398832422305,540400,594300,213610,1894000,1517980,27.916666666666668,20.833333333333336,28.805,0.0
