symbol,exchange,sec_id,sec_name,sec_abbr,sec_type1,sec_type2,listed_date,delisted_date
SHSE.600000,SHSE,600000,浦发银行,PFYH,1010,101001,1999-11-10,2038-01-01
SHSE.600004,SHSE,600004,白云机场,BYJC,1010,101001,2003-04-28,2038-01-01
SHSE.600006,SHSE,600006,东风股份,DFGF,1010,101001,1999-07-27,2038-01-01
SHSE.600007,SHSE,600007,中国国贸,ZGGM,1010,101001,1999-03-12,2038-01-01
SHSE.600008,SHSE,600008,首创环保,SCHB,1010,101001,2000-04-27,2038-01-01
SHSE.600009,SHSE,600009,上海机场,SHJC,1010,101001,1998-02-18,2038-01-01
SHSE.600010,SHSE,600010,包钢股份,BGGF,1010,101001,2001-03-09,2038-01-01
SHSE.600011,SHSE,600011,华能国际,HNGJ,1010,101001,2001-12-06,2038-01-01
SHSE.600012,SHSE,600012,皖通高速,WTGS,1010,101001,2003-01-07,2038-01-01
SHSE.600015,SHSE,600015,华夏银行,HXYH,1010,101001,2003-09-12,2038-01-01
SHSE.600016,SHSE,600016,民生银行,MSYH,1010,101001,2000-12-19,2038-01-01
SHSE.600017,SHSE,600017,日照港,RZG,1010,101001,2006-10-17,2038-01-01
SHSE.600018,SHSE,600018,上港集团,SGJT,1010,101001,2006-10-26,2038-01-01
SHSE.600019,SHSE,600019,宝钢股份,BGGF,1010,101001,2000-12-12,2038-01-01
SHSE.600020,SHSE,600020,中原高速,ZYGS,1010,101001,2003-08-08,2038-01-01
SHSE.600021,SHSE,600021,上海电力,SHDL,1010,101001,2003-10-29,2038-01-01
SHSE.600022,SHSE,600022,山东钢铁,SDGT,1010,101001,2004-06-29,2038-01-01
SHSE.600023,SHSE,600023,浙能电力,ZNDL,1010,101001,2013-12-19,2038-01-01
SHSE.600025,SHSE,600025,华能水电,HNSD,1010,101001,2017-12-15,2038-01-01
SHSE.600026,SHSE,600026,中远海能,ZYHN,1010,101001,2002-05-23,2038-01-01
SHSE.600027,SHSE,600027,华电国际,HDGJ,1010,101001,2005-02-03,2038-01-01
SHSE.600028,SHSE,600028,中国石化,ZGSH,1010,101001,2001-08-08,2038-01-01
SHSE.600029,SHSE,600029,南方航空,NFHK,1010,101001,2003-07-25,2038-01-01
SHSE.600030,SHSE,600030,中信证券,ZXZQ,1010,101001,2003-01-06,2038-01-01
SHSE.600031,SHSE,600031,三一重工,SYZG,1010,101001,2003-07-03,2038-01-01
SHSE.600032,SHSE,600032,浙江新能,ZJXN,1010,101001,2021-05-25,2038-01-01
SHSE.600033,SHSE,600033,福建高速,FJGS,1010,101001,2001-02-09,2038-01-01
SHSE.600035,SHSE,600035,楚天高速,CTGS,1010,101001,2004-03-10,2038-01-01
SHSE.600036,SHSE,600036,招商银行,ZSYH,1010,101001,2002-04-09,2038-01-01
SHSE.600037,SHSE,600037,歌华有线,GHYX,1010,101001,2001-02-08,2038-01-01
SHSE.600038,SHSE,600038,中直股份,ZZGF,1010,101001,2000-12-18,2038-01-01
SHSE.600039,SHSE,600039,四川路桥,SCLQ,1010,101001,2003-03-25,2038-01-01
SHSE.600048,SHSE,600048,保利发展,BLFZ,1010,101001,2006-07-31,2038-01-01
SHSE.600050,SHSE,600050,中国联通,ZGLT,1010,101001,2002-10-09,2038-01-01
SHSE.600051,SHSE,600051,宁波联合,NBLH,1010,101001,1997-04-10,2038-01-01
SHSE.600052,SHSE,600052,东望时代,DWSD,1010,101001,1997-04-15,2038-01-01
SHSE.600053,SHSE,600053,九鼎投资,JDTZ,1010,101001,1997-04-18,2038-01-01
SHSE.600054,SHSE,600054,黄山旅游,HSLY,1010,101001,1997-05-06,2038-01-01
SHSE.600055,SHSE,600055,万东医疗,WDYL,1010,101001,1997-05-19,2038-01-01
SHSE.600056,SHSE,600056,中国医药,ZGYY,1010,101001,1997-05-15,2038-01-01
SHSE.600057,SHSE,600057,厦门象屿,XMXY,1010,101001,1997-06-04,2038-01-01
SHSE.600058,SHSE,600058,五矿发展,WKFZ,1010,101001,1997-05-28,2038-01-01
SHSE.600059,SHSE,600059,古越龙山,GYLS,1010,101001,1997-05-16,2038-01-01
